state,state_full,year,month,timestamp,alternative,total,average_price,relative,temp
AL,Alabama,2018,1,1/1/18,97,13361,3.135,0.007259936,40.4
AL,Alabama,2018,2,2/1/18,113,14721,3.0875,0.007676109,58
AL,Alabama,2018,3,3/1/18,138,19154,3.088,0.007204761,55.4
AL,Alabama,2018,4,4/1/18,133,15351,3.195,0.008663931,59.5
AL,Alabama,2018,5,5/1/18,136,17889,3.328,0.007602437,74.4
AL,Alabama,2018,6,6/1/18,145,18119,3.434,0.008002649,79.3
AL,Alabama,2018,7,7/1/18,158,16628,3.416,0.009502045,80.7
AL,Alabama,2018,8,8/1/18,154,18020,3.41,0.00854606,79.5
AL,Alabama,2018,9,9/1/18,147,16589,3.359,0.008861294,79.4
AL,Alabama,2018,10,10/1/18,137,15708,3.391,0.00872167,67.4
AL,Alabama,2018,11,11/1/18,108,15234,3.354,0.007089405,50.4
AL,Alabama,2018,12,12/1/18,152,18917,3.156,0.008035101,49
AR,Arkansas,2018,1,1/1/18,76,8623,2.289,0.008813638,35.7
AR,Arkansas,2018,2,2/1/18,62,8435,2.322,0.007350326,45.9
AR,Arkansas,2018,3,3/1/18,83,12237,2.313,0.006782708,53.9
AR,Arkansas,2018,4,4/1/18,79,9361,2.49,0.008439269,55.2
AR,Arkansas,2018,5,5/1/18,75,11316,2.606,0.006627784,75
AR,Arkansas,2018,6,6/1/18,82,10874,2.585,0.007540923,80.1
AR,Arkansas,2018,7,7/1/18,104,10615,2.544,0.009797456,81.8
AR,Arkansas,2018,8,8/1/18,119,11722,2.551,0.010151851,78.8
AR,Arkansas,2018,9,9/1/18,86,10403,2.532,0.008266846,75
AR,Arkansas,2018,10,10/1/18,91,9553,2.599,0.009525803,62.6
AR,Arkansas,2018,11,11/1/18,105,9717,2.361,0.010805804,45.8
AR,Arkansas,2018,12,12/1/18,99,12082,2.035,0.008194008,44.2
AZ,Arizona,2018,1,1/1/18,408,21762,2.293,0.018748277,47.6
AZ,Arizona,2018,2,2/1/18,411,24058,2.346,0.017083714,46.7
AZ,Arizona,2018,3,3/1/18,490,33749,2.312,0.014518949,52.3
AZ,Arizona,2018,4,4/1/18,491,28853,2.434,0.017017295,62.9
AZ,Arizona,2018,5,5/1/18,625,36269,2.602,0.017232347,68.5
AZ,Arizona,2018,6,6/1/18,539,34166,2.621,0.015775918,78.6
AZ,Arizona,2018,7,7/1/18,516,29989,2.587,0.017206309,82.3
AZ,Arizona,2018,8,8/1/18,617,33305,2.573,0.018525747,80.2
AZ,Arizona,2018,9,9/1/18,566,31349,2.581,0.018054802,76
AZ,Arizona,2018,10,10/1/18,506,25589,2.615,0.019774122,59.9
AZ,Arizona,2018,11,11/1/18,508,27063,2.363,0.018771016,49.4
AZ,Arizona,2018,12,12/1/18,514,31002,2.023,0.016579576,42.8
CA,California,2018,1,1/1/18,7840,124575,2.414,0.062933976,48.9
CA,California,2018,2,2/1/18,9032,138938,2.4425,0.065007413,46.6
CA,California,2018,3,3/1/18,10768,168895,2.528,0.063755588,49
CA,California,2018,4,4/1/18,8690,140785,2.788,0.061725326,57.2
CA,California,2018,5,5/1/18,10586,172665,3.003,0.061309472,63
CA,California,2018,6,6/1/18,10372,155049,3.091,0.066894982,71.4
CA,California,2018,7,7/1/18,9798,145263,3.018,0.067450073,79.6
CA,California,2018,8,8/1/18,10439,155885,2.948,0.066966033,76.4
CA,California,2018,9,9/1/18,10985,156412,2.934,0.070231184,71.1
CA,California,2018,10,10/1/18,9628,129664,2.968,0.074253455,60.9
CA,California,2018,11,11/1/18,10538,145251,2.909,0.072550275,52.6
CA,California,2018,12,12/1/18,12661,180415,2.765,0.070177092,44.8
CO,Colorado,2018,1,1/1/18,291,14922,3.18,0.019501407,29.7
CO,Colorado,2018,2,2/1/18,326,14918,3.307,0.021852795,28.6
CO,Colorado,2018,3,3/1/18,502,20432,3.393,0.024569303,37.8
CO,Colorado,2018,4,4/1/18,513,16418,3.546,0.031246193,44
CO,Colorado,2018,5,5/1/18,504,19719,3.687,0.025559105,57.2
CO,Colorado,2018,6,6/1/18,516,21395,3.74,0.024117785,66.5
CO,Colorado,2018,7,7/1/18,540,20311,3.701,0.026586579,70
CO,Colorado,2018,8,8/1/18,614,21814,3.666,0.028147062,66.2
CO,Colorado,2018,9,9/1/18,589,19502,3.675,0.030202031,61.9
CO,Colorado,2018,10,10/1/18,530,18030,3.8,0.029395452,45
CO,Colorado,2018,11,11/1/18,506,18561,3.676,0.027261462,32.5
CO,Colorado,2018,12,12/1/18,572,21784,3.452,0.026257804,26.6
CT,Connecticut,2018,1,1/1/18,205,11366,2.493,0.018036248,25.4
CT,Connecticut,2018,2,2/1/18,227,12499,2.516,0.018161453,35.7
CT,Connecticut,2018,3,3/1/18,295,15165,2.48,0.019452687,36.4
CT,Connecticut,2018,4,4/1/18,273,13222,2.626,0.020647406,43.4
CT,Connecticut,2018,5,5/1/18,379,15460,2.831,0.024514877,62.2
CT,Connecticut,2018,6,6/1/18,313,15606,2.93,0.020056389,66.4
CT,Connecticut,2018,7,7/1/18,341,14005,2.9,0.024348447,74
CT,Connecticut,2018,8,8/1/18,372,15567,2.883,0.023896705,74.3
CT,Connecticut,2018,9,9/1/18,380,14258,2.946,0.026651704,66.1
CT,Connecticut,2018,10,10/1/18,374,13979,2.974,0.026754417,52.3
CT,Connecticut,2018,11,11/1/18,311,14083,2.846,0.022083363,39.1
CT,Connecticut,2018,12,12/1/18,356,16158,2.531,0.02203243,33.8
FL,Florida,2018,1,1/1/18,996,88131,2.462,0.011301358,55
FL,Florida,2018,2,2/1/18,1026,93343,2.498,0.010991719,69.2
FL,Florida,2018,3,3/1/18,1180,116417,2.48,0.010135977,63
FL,Florida,2018,4,4/1/18,1164,95238,2.651,0.012222012,70.2
FL,Florida,2018,5,5/1/18,1352,108056,2.846,0.012512031,76.4
FL,Florida,2018,6,6/1/18,1329,105319,2.742,0.012618806,81.5
FL,Florida,2018,7,7/1/18,1214,96764,2.774,0.012545988,82.4
FL,Florida,2018,8,8/1/18,1297,104911,2.768,0.01236286,82.2
FL,Florida,2018,9,9/1/18,1190,105132,2.764,0.011319104,82.4
FL,Florida,2018,10,10/1/18,1262,99522,2.605,0.012680613,76.5
FL,Florida,2018,11,11/1/18,1222,104859,2.315,0.011653745,66.7
FL,Florida,2018,12,12/1/18,1322,127641,2.172,0.010357174,61.8
GA,Georgia,2018,1,1/1/18,346,30689,2.493,0.011274398,48.2
GA,Georgia,2018,2,2/1/18,404,33300,2.5935,0.012132132,56.1
GA,Georgia,2018,3,3/1/18,623,43912,2.535,0.014187466,56.3
GA,Georgia,2018,4,4/1/18,449,34624,2.672,0.012967884,64.6
GA,Georgia,2018,5,5/1/18,491,41085,2.814,0.011950834,75.6
GA,Georgia,2018,6,6/1/18,551,44401,2.767,0.01240963,78.1
GA,Georgia,2018,7,7/1/18,516,38350,2.747,0.01345502,81
GA,Georgia,2018,8,8/1/18,484,42601,2.772,0.011361236,80.8
GA,Georgia,2018,9,9/1/18,455,40166,2.758,0.011327989,79.1
GA,Georgia,2018,10,10/1/18,437,37887,2.767,0.011534299,69.7
GA,Georgia,2018,11,11/1/18,444,37167,2.537,0.011946081,52.8
GA,Georgia,2018,12,12/1/18,526,48528,2.262,0.010839103,52.2
IA,Iowa,2018,1,1/1/18,116,8639,3.584,0.01342748,17.8
IA,Iowa,2018,2,2/1/18,138,8426,3.6815,0.016377878,20.5
IA,Iowa,2018,3,3/1/18,205,12734,3.739,0.016098634,35.2
IA,Iowa,2018,4,4/1/18,159,10178,3.775,0.01562193,39.3
IA,Iowa,2018,5,5/1/18,192,11361,3.854,0.016899921,67
IA,Iowa,2018,6,6/1/18,211,12068,3.905,0.017484256,73.1
IA,Iowa,2018,7,7/1/18,189,11035,3.962,0.017127322,73.1
IA,Iowa,2018,8,8/1/18,200,11997,3.978,0.016670834,71.8
IA,Iowa,2018,9,9/1/18,159,10577,3.994,0.015032618,65.9
IA,Iowa,2018,10,10/1/18,169,10635,4.065,0.015890926,48.2
